Foundation URI,Linearization URI,Code,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2025 Jan 24 - 22:30 UTC
http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/mms/1435254666,0,Certain infectious or parasitic diseases,chapter,1,FALSE,01,browser,FALSE,,,,,,,
http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/mms/588616678,BlockL1-1A0,Gastroenteritis or colitis of infectious origin,block,1,FALSE,01,browser,FALSE,,,,,,,
http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/mms/135352227,BlockL2-1A0,Bacterial intestinal infections,block,2,FALSE,01,browser,FALSE,,BlockL1-1A0,,,,,
http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/mms/257068234,1A00,Cholera,category,1,FALSE,01,browser,TRUE,TRUE,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/416025325,http://id.who.int/icd/release/11/mms/416025325,1A01,intestinal infection due to other Vibrio,category,1,FALSE,01,browser,TRUE,TRUE,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/mms/2080365623,1A02,intestinal infections due to Shigella,category,1,FALSE,01,browser,TRUE,TRUE,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/344162786,http://id.who.int/icd/release/11/mms/344162786,1A03,intestinal infections due to Escherichia coli,category,1,FALSE,01,browser,FALSE,TRUE,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/2099226249,http://id.who.int/icd/release/11/mms/2099226249,1A03.0,Enteropathogenic Escherichia coli infection,category,2,FALSE,01,browser,TRUE,TRUE,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/408185629,http://id.who.int/icd/release/11/mms/408185629,1A03.1,Enterotoxigenic Escherichia coli infection,category,2,FALSE,01,browser,TRUE,TRUE,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/1828273122,http://id.who.int/icd/release/11/mms/1828273122,1A03.2,Enteroinvasive Escherichia coli infection,category,2,FALSE,01,browser,TRUE,TRUE,BlockL1-1A0,BlockL2-1A0,,,,
